GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0042300404,1610612738,BOS,Boston,1629004,Svi Mykhailiuk,Svi,,,9:53,1.0,7.0,0.143,1.0,5.0,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,-9.0
0042300404,1610612738,BOS,Boston,1628436,Luke Kornet,Luke,,,9:53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,-9.0
0042300404,1610612738,BOS,Boston,1629052,Oshae Brissett,Oshae,,,15:18,2.0,4.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,-2.0
0042300404,1610612738,BOS,Boston,1630531,Jaden Springer,Jaden,,,8:01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0042300404,1610612738,BOS,Boston,1629674,Neemias Queta,Neemias,,,5:25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0
0042300404,1610612738,BOS,Boston,1641775,Jordan Walsh,Jordan,,,5:25,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
0042300404,1610612738,BOS,Boston,204001,Kristaps Porziņģis,Kristaps,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300403,1610612738,BOS,Boston,1627759,Jaylen Brown,Jaylen,F,,41:28,12.0,22.0,0.545,2.0,9.0,0.222,4.0,5.0,0.8,1.0,7.0,8.0,8.0,0.0,1.0,3.0,3.0,30.0,13.0
0042300403,1610612738,BOS,Boston,1628369,Jayson Tatum,Jayson,F,,41:51,11.0,26.0,0.423,4.0,13.0,0.308,5.0,5.0,1.0,0.0,6.0,6.0,5.0,1.0,0.0,2.0,2.0,31.0,-4.0
0042300403,1610612738,BOS,Boston,201143,Al Horford,Al,C,,36:47,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,0.0,5.0,5.0,2.0,2.0,1.0,2.0,1.0,8.0,-2.0
0042300403,1610612738,BOS,Boston,1628401,Derrick White,Derrick,G,,41:36,4.0,10.0,0.4,4.0,9.0,0.444,4.0,4.0,1.0,0.0,5.0,5.0,4.0,0.0,2.0,1.0,4.0,16.0,3.0
0042300403,1610612738,BOS,Boston,201950,Jrue Holiday,Jrue,G,,41:35,4.0,9.0,0.444,1.0,3.0,0.333,0.0,0.0,0.0,3.0,1.0,4.0,5.0,1.0,0.0,0.0,4.0,9.0,1.0
0042300403,1610612738,BOS,Boston,1630214,Xavier Tillman,Xavier,,,11:13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,2.0,1.0,2.0,3.0,9.0
0042300403,1610612738,BOS,Boston,1630573,Sam Hauser,Sam,,,14:20,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,9.0,16.0
0042300403,1610612738,BOS,Boston,1630202,Payton Pritchard,Payton,,,11:11,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,-1.0
0042300403,1610612738,BOS,Boston,1629052,Oshae Brissett,Oshae,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300403,1610612738,BOS,Boston,1628436,Luke Kornet,Luke,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300403,1610612738,BOS,Boston,1629004,Svi Mykhailiuk,Svi,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300403,1610612738,BOS,Boston,1629674,Neemias Queta,Neemias,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300403,1610612738,BOS,Boston,1630531,Jaden Springer,Jaden,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300403,1610612738,BOS,Boston,1641775,Jordan Walsh,Jordan,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300402,1610612738,BOS,Boston,1627759,Jaylen Brown,Jaylen,F,,42:25,8.0,15.0,0.533,1.0,5.0,0.2,4.0,4.0,1.0,2.0,2.0,4.0,7.0,3.0,0.0,6.0,3.0,21.0,-3.0
0042300402,1610612738,BOS,Boston,1628369,Jayson Tatum,Jayson,F,,45:09,6.0,22.0,0.273,1.0,7.0,0.143,5.0,6.0,0.833,1.0,8.0,9.0,12.0,1.0,0.0,3.0,2.0,18.0,6.0
0042300402,1610612738,BOS,Boston,201143,Al Horford,Al,C,,28:07,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,7.0,7.0,2.0,1.0,0.0,0.0,2.0,5.0,1.0
0042300402,1610612738,BOS,Boston,1628401,Derrick White,Derrick,G,,38:05,6.0,15.0,0.4,4.0,10.0,0.4,2.0,2.0,1.0,2.0,3.0,5.0,2.0,3.0,2.0,1.0,2.0,18.0,8.0
